,month,cena_calkowita,status
0,January,105747.89885323425,overall
1,February,146033.48426726277,overall
2,March,198894.45029995908,overall
3,April,285028.1298465427,overall
4,May,324247.54289388796,overall
5,June,311402.89036233875,overall
6,July,388450.79487503954,overall
7,August,493558.4100173147,overall
8,September,281530.8813447619,overall
9,October,241679.30789808914,overall
10,November,122858.27027322406,overall
11,December,139221.99044829115,overall
0,January,83013.15737426109,non calceled + non refund deposit
1,February,113605.35214754097,non calceled + non refund deposit
2,March,151520.52612725226,non calceled + non refund deposit
3,April,192537.1547542878,non calceled + non refund deposit
4,May,220207.69895628182,non calceled + non refund deposit
5,June,213089.71687711595,non calceled + non refund deposit
6,July,260363.58832964255,non calceled + non refund deposit
7,August,338828.7601363538,non calceled + non refund deposit
8,September,196472.3913910476,non calceled + non refund deposit
9,October,174112.95514012736,non calceled + non refund deposit
10,November,93175.53465573772,non calceled + non refund deposit
11,December,103424.37351176208,non calceled + non refund deposit
0,January,88043.40386201654,non calceled + non refund deposit + extra deposit
1,February,120593.72888077496,non calceled + non refund deposit + extra deposit
2,March,161639.14984930385,non calceled + non refund deposit + extra deposit
3,April,211676.3365434194,non calceled + non refund deposit + extra deposit
4,May,241940.2246423599,non calceled + non refund deposit + extra deposit
5,June,232530.5047456309,non calceled + non refund deposit + extra deposit
6,July,294524.40823188866,non calceled + non refund deposit + extra deposit
7,August,378885.6745725416,non calceled + non refund deposit + extra deposit
8,September,213093.0158647619,non calceled + non refund deposit + extra deposit
9,October,187710.71663694264,non calceled + non refund deposit + extra deposit
10,November,99455.28609836067,non calceled + non refund deposit + extra deposit
11,December,112011.89815623612,non calceled + non refund deposit + extra deposit
0,January,96708.9545342003,non calceled + non refund deposit + extra deposit + 25% discount
1,February,132729.39891989567,non calceled + non refund deposit + extra deposit + 25% discount
2,March,180535.74031344696,non calceled + non refund deposit + extra deposit + 25% discount
3,April,250143.0778951977,non calceled + non refund deposit + extra deposit + 25% discount
4,May,283790.02072703734,non calceled + non refund deposit + extra deposit + 25% discount
5,June,273995.42842014367,non calceled + non refund deposit + extra deposit + 25% discount
6,July,343985.23860874726,non calceled + non refund deposit + extra deposit + 25% discount
7,August,438739.62497745466,non calceled + non refund deposit + extra deposit + 25% discount
8,September,248258.09421047618,non calceled + non refund deposit + extra deposit + 25% discount
9,October,215896.36789490443,non calceled + non refund deposit + extra deposit + 25% discount
10,November,111382.37585245902,non calceled + non refund deposit + extra deposit + 25% discount
11,December,125826.34653672879,non calceled + non refund deposit + extra deposit + 25% discount
0,January,97527.95475016888,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
1,February,134222.16926639344,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
2,March,181597.3465192977,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
3,April,250971.94009866402,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
4,May,286033.4308485356,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
5,June,274783.5684688672,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
6,July,344842.1153621481,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
7,August,440317.4971322415,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
8,September,249756.15808619047,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
9,October,216622.46195541398,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
10,November,111992.59904918034,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
11,December,126588.73331269417,non calceled + non refund deposit + extra deposit + 25% discount + 50% discount
